item_id,title,category,brand,price,avg_rating
I0113,BrightLife Home Item 113,Home,PeakGear,69.69,3.86
I0114,PeakGear Home Item 114,Home,AlphaX,1866.84,3.97
I0115,NovaTech Beauty Item 115,Beauty,AlphaX,1972.01,4.58
I0116,NovaTech Toys Item 116,Toys,AlphaX,1502.42,4.43
I0117,ZenBrand Sports Item 117,Sports,CloudWear,1433.18,3.92
I0118,CloudWear Sports Item 118,Sports,BrightLife,1196.23,3.54
I0119,NovaTech Books Item 119,Books,ZenBrand,1681.42,3.84
I0120,ZenBrand Electronics Item 120,Electronics,ZenBrand,1665.93,3.98
I0121,ZenBrand Electronics Item 121,Electronics,ZenBrand,552.83,3.05
I0122,PeakGear Home Item 122,Home,ZenBrand,690.63,3.33
I0123,BrightLife Home Item 123,Home,PeakGear,746.44,3.69
I0124,PeakGear Books Item 124,Books,PeakGear,1940.81,4.12
I0125,AlphaX Beauty Item 125,Beauty,CloudWear,664.38,3.99
I0126,PeakGear Sports Item 126,Sports,PeakGear,1182.97,3.01
I0127,BrightLife Books Item 127,Books,BrightLife,227.98,4.81
I0128,CloudWear Toys Item 128,Toys,CloudWear,208.96,4.39
I0129,AlphaX Clothing Item 129,Clothing,PeakGear,1685.36,3.72
I0130,BrightLife Sports Item 130,Sports,ZenBrand,320.64,3.06
I0131,CloudWear Books Item 131,Books,NovaTech,1499.72,4.54
I0132,NovaTech Toys Item 132,Toys,AlphaX,1340.7,4.42
I0133,BrightLife Electronics Item 133,Electronics,CloudWear,679.19,3.29
I0134,ZenBrand Books Item 134,Books,AlphaX,83.01,4.55
I0135,BrightLife Sports Item 135,Sports,CloudWear,386.55,3.22
I0136,BrightLife Clothing Item 136,Clothing,BrightLife,534.45,3.34
I0137,PeakGear Home Item 137,Home,NovaTech,1337.4,4.01
I0138,PeakGear Electronics Item 138,Electronics,NovaTech,722.65,3.3
I0139,ZenBrand Home Item 139,Home,PeakGear,1876.27,4.29
I0140,PeakGear Home Item 140,Home,PeakGear,1305.91,4.76
I0141,CloudWear Clothing Item 141,Clothing,PeakGear,552.77,4.34
I0142,AlphaX Beauty Item 142,Beauty,ZenBrand,1146.64,3.94
I0143,ZenBrand Home Item 143,Home,NovaTech,154.22,3.85
I0144,AlphaX Home Item 144,Home,BrightLife,928.97,4.93
I0145,AlphaX Toys Item 145,Toys,ZenBrand,450.42,4.42
I0146,ZenBrand Toys Item 146,Toys,PeakGear,1353.52,3.41
I0147,NovaTech Home Item 147,Home,AlphaX,355.43,4.05
I0148,BrightLife Books Item 148,Books,AlphaX,286.37,4.16
I0149,NovaTech Toys Item 149,Toys,NovaTech,349.9,4.25
I0150,BrightLife Sports Item 150,Sports,NovaTech,650.14,3.69
I0151,ZenBrand Books Item 151,Books,AlphaX,722.22,4.33
I0152,PeakGear Sports Item 152,Sports,PeakGear,110.39,3.09
I0153,CloudWear Clothing Item 153,Clothing,CloudWear,1597.6,4.71
I0154,ZenBrand Electronics Item 154,Electronics,ZenBrand,900.44,4.15
I0155,PeakGear Toys Item 155,Toys,ZenBrand,1238.43,4.75
I0156,CloudWear Home Item 156,Home,AlphaX,1714.75,3.36
I0157,AlphaX Clothing Item 157,Clothing,PeakGear,1408.11,4.58
I0158,AlphaX Sports Item 158,Sports,BrightLife,804.23,4.76
I0159,PeakGear Beauty Item 159,Beauty,BrightLife,344.04,3.66
I0160,PeakGear Home Item 160,Home,NovaTech,647.9,4.49
I0161,CloudWear Toys Item 161,Toys,AlphaX,1289.14,4.08
I0162,PeakGear Toys Item 162,Toys,PeakGear,1585.3,3.01
I0163,CloudWear Electronics Item 163,Electronics,AlphaX,1237.62,4.73
I0164,CloudWear Electronics Item 164,Electronics,NovaTech,677.47,4.76
I0165,PeakGear Electronics Item 165,Electronics,CloudWear,1095.47,3.32
I0166,CloudWear Books Item 166,Books,BrightLife,402.11,4.55
I0167,BrightLife Beauty Item 167,Beauty,CloudWear,141.42,4.8
I0168,NovaTech Clothing Item 168,Clothing,PeakGear,231.3,4.86
I0169,AlphaX Clothing Item 169,Clothing,PeakGear,125.01,3.25
I0170,CloudWear Beauty Item 170,Beauty,NovaTech,1455.12,4.01
I0171,NovaTech Beauty Item 171,Beauty,ZenBrand,443.69,4.27
I0172,BrightLife Sports Item 172,Sports,BrightLife,84.2,3.03
I0173,PeakGear Home Item 173,Home,CloudWear,1962.85,4.26
I0174,PeakGear Clothing Item 174,Clothing,ZenBrand,1500.55,4.44
I0175,AlphaX Sports Item 175,Sports,PeakGear,473.24,3.92
I0176,ZenBrand Books Item 176,Books,PeakGear,1159.16,3.66
I0177,BrightLife Sports Item 177,Sports,ZenBrand,900.99,3.84
I0178,NovaTech Beauty Item 178,Beauty,NovaTech,1762.97,3.87
I0179,ZenBrand Clothing Item 179,Clothing,NovaTech,364.13,4.15
I0180,AlphaX Sports Item 180,Sports,NovaTech,1853.05,4.79
I0181,BrightLife Books Item 181,Books,ZenBrand,1597.17,3.34
I0182,AlphaX Clothing Item 182,Clothing,ZenBrand,529.3,4.09
I0183,PeakGear Books Item 183,Books,NovaTech,799.99,3.76
I0184,CloudWear Books Item 184,Books,BrightLife,581.18,3.12
I0185,AlphaX Clothing Item 185,Clothing,ZenBrand,740.97,4.58
I0186,CloudWear Beauty Item 186,Beauty,PeakGear,1745.47,4.16
I0187,AlphaX Beauty Item 187,Beauty,BrightLife,1290.1,4.92
I0188,NovaTech Electronics Item 188,Electronics,BrightLife,1992.51,3.78
I0189,CloudWear Books Item 189,Books,AlphaX,1129.87,3.5
I0190,AlphaX Books Item 190,Books,BrightLife,232.73,3.6
I0191,AlphaX Electronics Item 191,Electronics,ZenBrand,1604.76,4.77
I0192,NovaTech Clothing Item 192,Clothing,BrightLife,306.99,3.32
I0193,PeakGear Beauty Item 193,Beauty,ZenBrand,379.29,3.06
I0194,NovaTech Beauty Item 194,Beauty,AlphaX,396.63,3.16
I0195,NovaTech Toys Item 195,Toys,PeakGear,847.8,4.41
I0196,ZenBrand Beauty Item 196,Beauty,ZenBrand,743.15,4.04
I0197,CloudWear Sports Item 197,Sports,BrightLife,276.21,4.1
I0198,NovaTech Sports Item 198,Sports,BrightLife,142.67,3.38
I0199,BrightLife Toys Item 199,Toys,NovaTech,1765.52,4.03
